indice,x_cm,y_cm,theta1,theta2,alcanzable,configuracion,unidad_angulos
1400,-3.0356,-9.2437,7.5639,-116.5112,true,abajo,grados
1401,-3.0024,-9.2405,7.6188,-116.3885,true,abajo,grados
1402,-2.9693,-9.2372,7.6737,-116.2662,true,abajo,grados
1403,-2.9362,-9.2338,7.7286,-116.1442,true,abajo,grados
1404,-2.9032,-9.2302,7.7834,-116.0225,true,abajo,grados
1405,-2.8702,-9.2266,7.838,-115.9011,true,abajo,grados
1406,-2.8373,-9.2229,7.8923,-115.7799,true,abajo,grados
1407,-2.8045,-9.2192,7.9463,-115.6588,true,abajo,grados
1408,-2.7718,-9.2155,7.9998,-115.538,true,abajo,grados
1409,-2.7391,-9.2117,8.0528,-115.4172,true,abajo,grados
1410,-2.7066,-9.208,8.1052,-115.2965,true,abajo,grados
1411,-2.6741,-9.2044,8.1569,-115.1758,true,abajo,grados
1412,-2.6417,-9.2007,8.2078,-115.0551,true,abajo,grados
1413,-2.6095,-9.1972,8.2579,-114.9343,true,abajo,grados
1414,-2.5773,-9.1938,8.3071,-114.8135,true,abajo,grados
1415,-2.5453,-9.1905,8.3553,-114.6925,true,abajo,grados
1416,-2.5134,-9.1873,8.4024,-114.5713,true,abajo,grados
1417,-2.4816,-9.1844,8.4484,-114.4499,true,abajo,grados
1418,-2.4499,-9.1815,8.4932,-114.3282,true,abajo,grados
1419,-2.4183,-9.1789,8.5368,-114.2063,true,abajo,grados
1420,-2.3869,-9.1765,8.5791,-114.084,true,abajo,grados
1421,-2.3556,-9.1743,8.62,-113.9614,true,abajo,grados
1422,-2.3244,-9.1724,8.6595,-113.8383,true,abajo,grados
1423,-2.2933,-9.1707,8.6975,-113.7148,true,abajo,grados
1424,-2.2624,-9.1693,8.734,-113.5907,true,abajo,grados
1425,-2.2316,-9.1682,8.7689,-113.4662,true,abajo,grados
1426,-2.2009,-9.1673,8.8022,-113.3411,true,abajo,grados
1427,-2.1703,-9.1668,8.8339,-113.2154,true,abajo,grados
1428,-2.1399,-9.1667,8.8638,-113.0891,true,abajo,grados
1429,-2.1096,-9.1668,8.8921,-112.9621,true,abajo,grados
1430,-2.0794,-9.1673,8.9185,-112.8344,true,abajo,grados
1431,-2.0493,-9.1682,8.9432,-112.7059,true,abajo,grados
1432,-2.0194,-9.1694,8.9661,-112.5767,true,abajo,grados
1433,-1.9895,-9.171,8.987,-112.4467,true,abajo,grados
1434,-1.9598,-9.173,9.0062,-112.3159,true,abajo,grados
1435,-1.9302,-9.1754,9.0234,-112.1842,true,abajo,grados
1436,-1.9007,-9.1782,9.0387,-112.0516,true,abajo,grados
1437,-1.8713,-9.1814,9.0522,-111.9181,true,abajo,grados
1438,-1.842,-9.185,9.0636,-111.7836,true,abajo,grados
1439,-1.8128,-9.189,9.0732,-111.6482,true,abajo,grados
1440,-1.7837,-9.1934,9.0808,-111.5118,true,abajo,grados
1441,-1.7547,-9.1983,9.0865,-111.3743,true,abajo,grados
1442,-1.7257,-9.2036,9.0902,-111.2359,true,abajo,grados
1443,-1.6969,-9.2093,9.092,-111.0964,true,abajo,grados
1444,-1.6681,-9.2154,9.0918,-110.9557,true,abajo,grados
1445,-1.6394,-9.2219,9.0898,-110.814,true,abajo,grados
1446,-1.6107,-9.2289,9.0858,-110.6712,true,abajo,grados
1447,-1.5821,-9.2363,9.0799,-110.5273,true,abajo,grados
1448,-1.5536,-9.2441,9.0722,-110.3822,true,abajo,grados
1449,-1.5251,-9.2523,9.0627,-110.236,true,abajo,grados
1450,-1.4966,-9.2609,9.0513,-110.0887,true,abajo,grados
1451,-1.4682,-9.27,9.0381,-109.9401,true,abajo,grados
1452,-1.4398,-9.2794,9.0231,-109.7904,true,abajo,grados
1453,-1.4115,-9.2892,9.0064,-109.6395,true,abajo,grados
1454,-1.3832,-9.2994,8.988,-109.4875,true,abajo,grados
1455,-1.3549,-9.31,8.968,-109.3342,true,abajo,grados
1456,-1.3266,-9.321,8.9463,-109.1798,true,abajo,grados
1457,-1.2983,-9.3323,8.9231,-109.0242,true,abajo,grados
1458,-1.27,-9.3439,8.8983,-108.8675,true,abajo,grados
1459,-1.2417,-9.3559,8.8721,-108.7096,true,abajo,grados
1460,-1.2134,-9.3682,8.8444,-108.5505,true,abajo,grados
1461,-1.1851,-9.3808,8.8153,-108.3904,true,abajo,grados
1462,-1.1567,-9.3937,8.7849,-108.2291,true,abajo,grados
1463,-1.1284,-9.4069,8.7532,-108.0667,true,abajo,grados
1464,-1.1,-9.4204,8.7204,-107.9032,true,abajo,grados
1465,-1.0715,-9.4341,8.6863,-107.7386,true,abajo,grados
1466,-1.0431,-9.4481,8.6512,-107.573,true,abajo,grados
1467,-1.0146,-9.4623,8.6151,-107.4064,true,abajo,grados
1468,-0.986,-9.4767,8.578,-107.2389,true,abajo,grados
1469,-0.9574,-9.4912,8.54,-107.0703,true,abajo,grados
1470,-0.9287,-9.506,8.5012,-106.9009,true,abajo,grados
1471,-0.9,-9.5209,8.4617,-106.7305,true,abajo,grados
1472,-0.8712,-9.5359,8.4215,-106.5594,true,abajo,grados
1473,-0.8423,-9.551,8.3806,-106.3874,true,abajo,grados
1474,-0.8134,-9.5663,8.3393,-106.2146,true,abajo,grados
1475,-0.7844,-9.5816,8.2975,-106.0411,true,abajo,grados
1476,-0.7553,-9.5969,8.2553,-105.867,true,abajo,grados
1477,-0.7261,-9.6123,8.2128,-105.6922,true,abajo,grados
1478,-0.6969,-9.6277,8.1701,-105.5169,true,abajo,grados
1479,-0.6675,-9.643,8.1273,-105.341,true,abajo,grados
1480,-0.6381,-9.6584,8.0844,-105.1647,true,abajo,grados
1481,-0.6086,-9.6736,8.0416,-104.988,true,abajo,grados
1482,-0.579,-9.6888,7.9989,-104.8109,true,abajo,grados
1483,-0.5493,-9.7039,7.9563,-104.6335,true,abajo,grados
1484,-0.5196,-9.7189,7.9141,-104.456,true,abajo,grados
1485,-0.4897,-9.7337,7.8722,-104.2783,true,abajo,grados
1486,-0.4597,-9.7483,7.8307,-104.1005,true,abajo,grados
1487,-0.4297,-9.7627,7.7898,-103.9226,true,abajo,grados
1488,-0.3995,-9.7769,7.7494,-103.7449,true,abajo,grados
1489,-0.3693,-9.7908,7.7098,-103.5673,true,abajo,grados
1490,-0.339,-9.8045,7.671,-103.3899,true,abajo,grados
1491,-0.3085,-9.8179,7.633,-103.2127,true,abajo,grados
1492,-0.278,-9.831,7.596,-103.036,true,abajo,grados
1493,-0.2475,-9.8437,7.56,-102.8596,true,abajo,grados
1494,-0.2168,-9.856,7.5251,-102.6838,true,abajo,grados
1495,-0.186,-9.868,7.4914,-102.5086,true,abajo,grados
1496,-0.1552,-9.8795,7.459,-102.3341,true,abajo,grados
1497,-0.1243,-9.8906,7.428,-102.1604,true,abajo,grados
1498,-0.0933,-9.9013,7.3984,-101.9875,true,abajo,grados
1499,-0.0623,-9.9114,7.3703,-101.8156,true,abajo,grados
1500,-0.0312,-9.921,7.3438,-101.6446,true,abajo,grados
1501,-0.0,-9.9302,7.319,-101.4748,true,abajo,grados
1502,0.0312,-9.9387,7.2959,-101.3062,true,abajo,grados
1503,0.0625,-9.9467,7.2747,-101.1389,true,abajo,grados
1504,0.0938,-9.9541,7.2554,-100.973,true,abajo,grados
1505,0.1252,-9.9609,7.238,-100.8085,true,abajo,grados
1506,0.1566,-9.967,7.2227,-100.6456,true,abajo,grados
1507,0.188,-9.9724,7.2095,-100.4843,true,abajo,grados
1508,0.2194,-9.9772,7.1985,-100.3247,true,abajo,grados
1509,0.2509,-9.9813,7.1897,-100.167,true,abajo,grados
1510,0.2824,-9.9847,7.1832,-100.0111,true,abajo,grados
1511,0.3139,-9.9873,7.1792,-99.8573,true,abajo,grados
1512,0.3453,-9.9892,7.1775,-99.7055,true,abajo,grados
1513,0.3768,-9.9903,7.1784,-99.5558,true,abajo,grados
1514,0.4083,-9.9906,7.1818,-99.4084,true,abajo,grados
1515,0.4397,-9.9902,7.1878,-99.2633,true,abajo,grados
1516,0.4711,-9.9889,7.1965,-99.1206,true,abajo,grados
1517,0.5024,-9.9867,7.208,-98.9803,true,abajo,grados
