indice,x_cm,y_cm,theta1,theta2,alcanzable,configuracion,unidad_angulos
1,6.0416,0.0,-0.6026,1.4592,true,arriba,radianes
2,6.0422,0.019,-0.6016,1.4592,true,arriba,radianes
3,6.044,0.038,-0.6007,1.459,true,arriba,radianes
4,6.0471,0.057,-0.5996,1.4586,true,arriba,radianes
5,6.0514,0.076,-0.5985,1.4581,true,arriba,radianes
6,6.057,0.0952,-0.5974,1.4575,true,arriba,radianes
7,6.0637,0.1143,-0.5962,1.4568,true,arriba,radianes
8,6.0717,0.1335,-0.595,1.4559,true,arriba,radianes
9,6.0809,0.1529,-0.5937,1.4548,true,arriba,radianes
10,6.0913,0.1723,-0.5923,1.4537,true,arriba,radianes
11,6.1028,0.1918,-0.5909,1.4524,true,arriba,radianes
12,6.1156,0.2114,-0.5894,1.4509,true,arriba,radianes
13,6.1295,0.2312,-0.5879,1.4494,true,arriba,radianes
14,6.1446,0.2511,-0.5864,1.4477,true,arriba,radianes
15,6.1609,0.2711,-0.5847,1.4458,true,arriba,radianes
16,6.1782,0.2914,-0.5831,1.4439,true,arriba,radianes
17,6.1967,0.3117,-0.5813,1.4418,true,arriba,radianes
18,6.2163,0.3323,-0.5795,1.4396,true,arriba,radianes
19,6.237,0.3531,-0.5777,1.4372,true,arriba,radianes
20,6.2588,0.374,-0.5758,1.4348,true,arriba,radianes
21,6.2816,0.3952,-0.5738,1.4322,true,arriba,radianes
22,6.3054,0.4166,-0.5718,1.4295,true,arriba,radianes
23,6.3303,0.4382,-0.5698,1.4266,true,arriba,radianes
24,6.3562,0.4601,-0.5677,1.4237,true,arriba,radianes
25,6.383,0.4822,-0.5655,1.4206,true,arriba,radianes
26,6.4108,0.5045,-0.5633,1.4174,true,arriba,radianes
27,6.4395,0.5272,-0.561,1.4141,true,arriba,radianes
28,6.4691,0.55,-0.5587,1.4107,true,arriba,radianes
29,6.4996,0.5732,-0.5563,1.4071,true,arriba,radianes
30,6.5309,0.5967,-0.5539,1.4035,true,arriba,radianes
31,6.5631,0.6204,-0.5514,1.3998,true,arriba,radianes
32,6.5961,0.6444,-0.5489,1.3959,true,arriba,radianes
33,6.6299,0.6688,-0.5463,1.392,true,arriba,radianes
34,6.6644,0.6934,-0.5437,1.3879,true,arriba,radianes
35,6.6996,0.7183,-0.541,1.3838,true,arriba,radianes
36,6.7355,0.7436,-0.5383,1.3796,true,arriba,radianes
37,6.7721,0.7692,-0.5355,1.3752,true,arriba,radianes
38,6.8094,0.7951,-0.5327,1.3708,true,arriba,radianes
39,6.8472,0.8213,-0.5298,1.3663,true,arriba,radianes
40,6.8856,0.8479,-0.5269,1.3617,true,arriba,radianes
41,6.9245,0.8748,-0.524,1.3571,true,arriba,radianes
42,6.964,0.902,-0.521,1.3523,true,arriba,radianes
43,7.0039,0.9295,-0.518,1.3475,true,arriba,radianes
44,7.0443,0.9574,-0.5149,1.3426,true,arriba,radianes
45,7.0851,0.9857,-0.5118,1.3376,true,arriba,radianes
46,7.1263,1.0142,-0.5086,1.3326,true,arriba,radianes
47,7.1678,1.0431,-0.5055,1.3275,true,arriba,radianes
48,7.2097,1.0723,-0.5022,1.3224,true,arriba,radianes
49,7.2518,1.1019,-0.499,1.3172,true,arriba,radianes
50,7.2942,1.1318,-0.4957,1.3119,true,arriba,radianes
51,7.3368,1.162,-0.4924,1.3066,true,arriba,radianes
52,7.3796,1.1926,-0.4891,1.3012,true,arriba,radianes
53,7.4226,1.2235,-0.4857,1.2958,true,arriba,radianes
54,7.4656,1.2547,-0.4823,1.2904,true,arriba,radianes
55,7.5088,1.2862,-0.4789,1.2849,true,arriba,radianes
56,7.552,1.318,-0.4754,1.2794,true,arriba,radianes
57,7.5952,1.3502,-0.4719,1.2738,true,arriba,radianes
58,7.6385,1.3826,-0.4684,1.2683,true,arriba,radianes
59,7.6816,1.4154,-0.4649,1.2627,true,arriba,radianes
60,7.7247,1.4484,-0.4614,1.2571,true,arriba,radianes
61,7.7677,1.4818,-0.4579,1.2514,true,arriba,radianes
62,7.8106,1.5154,-0.4543,1.2458,true,arriba,radianes
63,7.8533,1.5493,-0.4507,1.2401,true,arriba,radianes
64,7.8957,1.5835,-0.4471,1.2345,true,arriba,radianes
65,7.938,1.6179,-0.4436,1.2288,true,arriba,radianes
66,7.9799,1.6526,-0.44,1.2232,true,arriba,radianes
67,8.0216,1.6875,-0.4363,1.2176,true,arriba,radianes
68,8.0629,1.7227,-0.4327,1.2119,true,arriba,radianes
69,8.1039,1.7581,-0.4291,1.2063,true,arriba,radianes
70,8.1445,1.7937,-0.4255,1.2007,true,arriba,radianes
71,8.1847,1.8295,-0.4219,1.1952,true,arriba,radianes
72,8.2245,1.8655,-0.4183,1.1896,true,arriba,radianes
73,8.2637,1.9018,-0.4147,1.1841,true,arriba,radianes
74,8.3025,1.9382,-0.4111,1.1786,true,arriba,radianes
75,8.3408,1.9747,-0.4075,1.1732,true,arriba,radianes
76,8.3785,2.0115,-0.404,1.1678,true,arriba,radianes
77,8.4156,2.0484,-0.4004,1.1624,true,arriba,radianes
78,8.4521,2.0854,-0.3968,1.1571,true,arriba,radianes
79,8.488,2.1226,-0.3933,1.1519,true,arriba,radianes
80,8.5233,2.1599,-0.3898,1.1467,true,arriba,radianes
81,8.5579,2.1973,-0.3863,1.1416,true,arriba,radianes
82,8.5918,2.2348,-0.3829,1.1365,true,arriba,radianes
83,8.625,2.2724,-0.3794,1.1315,true,arriba,radianes
84,8.6574,2.31,-0.376,1.1266,true,arriba,radianes
85,8.6891,2.3478,-0.3726,1.1218,true,arriba,radianes
86,8.72,2.3855,-0.3692,1.117,true,arriba,radianes
87,8.7502,2.4233,-0.3659,1.1123,true,arriba,radianes
88,8.7795,2.4612,-0.3626,1.1078,true,arriba,radianes
89,8.808,2.4991,-0.3594,1.1033,true,arriba,radianes
90,8.8357,2.5369,-0.3561,1.0988,true,arriba,radianes
91,8.8625,2.5748,-0.353,1.0945,true,arriba,radianes
92,8.8884,2.6126,-0.3498,1.0903,true,arriba,radianes
93,8.9135,2.6505,-0.3467,1.0862,true,arriba,radianes
94,8.9377,2.6882,-0.3436,1.0822,true,arriba,radianes
95,8.961,2.726,-0.3406,1.0783,true,arriba,radianes
96,8.9833,2.7636,-0.3376,1.0745,true,arriba,radianes
97,9.0048,2.8012,-0.3347,1.0709,true,arriba,radianes
98,9.0253,2.8387,-0.3318,1.0673,true,arriba,radianes
99,9.0448,2.8761,-0.329,1.0639,true,arriba,radianes
100,9.0634,2.9134,-0.3262,1.0606,true,arriba,radianes
101,9.0811,2.9506,-0.3235,1.0574,true,arriba,radianes
102,9.0978,2.9877,-0.3208,1.0543,true,arriba,radianes
103,9.1136,3.0246,-0.3182,1.0514,true,arriba,radianes
104,9.1283,3.0614,-0.3157,1.0486,true,arriba,radianes
105,9.1421,3.098,-0.3131,1.0459,true,arriba,radianes
106,9.155,3.1345,-0.3107,1.0433,true,arriba,radianes
107,9.1668,3.1707,-0.3083,1.0409,true,arriba,radianes
108,9.1777,3.2068,-0.306,1.0386,true,arriba,radianes
