indice,x_cm,y_cm,theta1,theta2,alcanzable,configuracion,unidad_angulos
109,9.1877,3.2427,-0.3037,1.0365,true,arriba,radianes
110,9.1966,3.2784,-0.3015,1.0344,true,arriba,radianes
111,9.2046,3.3139,-0.2993,1.0326,true,arriba,radianes
112,9.2116,3.3491,-0.2972,1.0308,true,arriba,radianes
113,9.2177,3.3842,-0.2952,1.0292,true,arriba,radianes
114,9.2228,3.419,-0.2932,1.0277,true,arriba,radianes
115,9.227,3.4535,-0.2913,1.0264,true,arriba,radianes
116,9.2302,3.4878,-0.2894,1.0252,true,arriba,radianes
117,9.2325,3.5219,-0.2876,1.0241,true,arriba,radianes
118,9.2339,3.5557,-0.2859,1.0232,true,arriba,radianes
119,9.2344,3.5892,-0.2842,1.0224,true,arriba,radianes
120,9.2339,3.6224,-0.2826,1.0217,true,arriba,radianes
121,9.2326,3.6554,-0.281,1.0212,true,arriba,radianes
122,9.2303,3.6881,-0.2795,1.0208,true,arriba,radianes
123,9.2272,3.7206,-0.2781,1.0205,true,arriba,radianes
124,9.2233,3.7527,-0.2767,1.0204,true,arriba,radianes
125,9.2184,3.7845,-0.2754,1.0204,true,arriba,radianes
126,9.2128,3.8161,-0.2741,1.0205,true,arriba,radianes
127,9.2063,3.8473,-0.2729,1.0207,true,arriba,radianes
128,9.1991,3.8783,-0.2718,1.021,true,arriba,radianes
129,9.191,3.9089,-0.2707,1.0215,true,arriba,radianes
130,9.1821,3.9393,-0.2696,1.0221,true,arriba,radianes
131,9.1725,3.9693,-0.2686,1.0228,true,arriba,radianes
132,9.1622,3.9991,-0.2677,1.0236,true,arriba,radianes
133,9.1511,4.0285,-0.2668,1.0245,true,arriba,radianes
134,9.1394,4.0576,-0.266,1.0255,true,arriba,radianes
135,9.1269,4.0865,-0.2652,1.0266,true,arriba,radianes
136,9.1138,4.115,-0.2644,1.0278,true,arriba,radianes
137,9.1,4.1433,-0.2637,1.0291,true,arriba,radianes
138,9.0856,4.1712,-0.2631,1.0305,true,arriba,radianes
139,9.0706,4.1989,-0.2624,1.032,true,arriba,radianes
140,9.055,4.2262,-0.2619,1.0336,true,arriba,radianes
141,9.0388,4.2533,-0.2613,1.0353,true,arriba,radianes
142,9.022,4.2801,-0.2609,1.037,true,arriba,radianes
143,9.0048,4.3066,-0.2604,1.0388,true,arriba,radianes
144,8.987,4.3329,-0.26,1.0407,true,arriba,radianes
145,8.9687,4.3588,-0.2596,1.0427,true,arriba,radianes
146,8.95,4.3845,-0.2592,1.0447,true,arriba,radianes
147,8.9308,4.41,-0.2589,1.0468,true,arriba,radianes
148,8.9112,4.4352,-0.2586,1.049,true,arriba,radianes
149,8.8911,4.4601,-0.2584,1.0512,true,arriba,radianes
150,8.8707,4.4848,-0.2581,1.0534,true,arriba,radianes
151,8.85,4.5093,-0.2579,1.0557,true,arriba,radianes
152,8.8289,4.5335,-0.2577,1.0581,true,arriba,radianes
153,8.8074,4.5575,-0.2575,1.0605,true,arriba,radianes
154,8.7857,4.5814,-0.2574,1.0629,true,arriba,radianes
155,8.7637,4.605,-0.2573,1.0654,true,arriba,radianes
156,8.7415,4.6284,-0.2571,1.0679,true,arriba,radianes
157,8.719,4.6516,-0.2571,1.0704,true,arriba,radianes
158,8.6963,4.6746,-0.257,1.073,true,arriba,radianes
159,8.6733,4.6975,-0.2569,1.0756,true,arriba,radianes
160,8.6503,4.7202,-0.2568,1.0782,true,arriba,radianes
161,8.627,4.7428,-0.2568,1.0808,true,arriba,radianes
162,8.6037,4.7652,-0.2567,1.0834,true,arriba,radianes
163,8.5802,4.7875,-0.2567,1.086,true,arriba,radianes
164,8.5566,4.8096,-0.2567,1.0887,true,arriba,radianes
165,8.533,4.8317,-0.2566,1.0913,true,arriba,radianes
166,8.5093,4.8536,-0.2566,1.094,true,arriba,radianes
167,8.4855,4.8755,-0.2566,1.0966,true,arriba,radianes
168,8.4618,4.8972,-0.2566,1.0993,true,arriba,radianes
169,8.438,4.9189,-0.2565,1.1019,true,arriba,radianes
170,8.4142,4.9405,-0.2565,1.1045,true,arriba,radianes
171,8.3905,4.9621,-0.2565,1.1071,true,arriba,radianes
172,8.3668,4.9837,-0.2564,1.1097,true,arriba,radianes
173,8.3432,5.0052,-0.2564,1.1123,true,arriba,radianes
174,8.3196,5.0267,-0.2563,1.1149,true,arriba,radianes
175,8.2962,5.0481,-0.2562,1.1174,true,arriba,radianes
176,8.2728,5.0696,-0.2562,1.1199,true,arriba,radianes
177,8.2496,5.0911,-0.2561,1.1224,true,arriba,radianes
178,8.2265,5.1126,-0.256,1.1249,true,arriba,radianes
179,8.2036,5.1341,-0.2559,1.1273,true,arriba,radianes
180,8.1808,5.1557,-0.2557,1.1297,true,arriba,radianes
181,8.1581,5.1773,-0.2556,1.1321,true,arriba,radianes
182,8.1357,5.199,-0.2554,1.1345,true,arriba,radianes
183,8.1134,5.2207,-0.2552,1.1368,true,arriba,radianes
184,8.0914,5.2426,-0.255,1.139,true,arriba,radianes
185,8.0695,5.2645,-0.2548,1.1413,true,arriba,radianes
186,8.0479,5.2865,-0.2546,1.1435,true,arriba,radianes
187,8.0264,5.3086,-0.2543,1.1456,true,arriba,radianes
188,8.0053,5.3308,-0.2541,1.1477,true,arriba,radianes
189,7.9843,5.3531,-0.2538,1.1498,true,arriba,radianes
190,7.9636,5.3756,-0.2535,1.1518,true,arriba,radianes
191,7.9432,5.3982,-0.2531,1.1538,true,arriba,radianes
192,7.923,5.4209,-0.2528,1.1557,true,arriba,radianes
193,7.903,5.4438,-0.2524,1.1576,true,arriba,radianes
194,7.8833,5.4668,-0.252,1.1595,true,arriba,radianes
195,7.8639,5.49,-0.2515,1.1613,true,arriba,radianes
196,7.8447,5.5134,-0.2511,1.163,true,arriba,radianes
197,7.8259,5.5369,-0.2506,1.1647,true,arriba,radianes
198,7.8072,5.5606,-0.2501,1.1664,true,arriba,radianes
199,7.7889,5.5845,-0.2496,1.168,true,arriba,radianes
200,7.7708,5.6086,-0.249,1.1696,true,arriba,radianes
201,7.7529,5.6328,-0.2484,1.1711,true,arriba,radianes
202,7.7354,5.6573,-0.2478,1.1726,true,arriba,radianes
203,7.7181,5.6819,-0.2472,1.174,true,arriba,radianes
204,7.701,5.7068,-0.2465,1.1754,true,arriba,radianes
205,7.6842,5.7318,-0.2458,1.1767,true,arriba,radianes
206,7.6677,5.7571,-0.2451,1.178,true,arriba,radianes
207,7.6514,5.7825,-0.2444,1.1793,true,arriba,radianes
208,7.6353,5.8081,-0.2437,1.1805,true,arriba,radianes
209,7.6195,5.834,-0.2429,1.1817,true,arriba,radianes
210,7.6039,5.86,-0.2421,1.1828,true,arriba,radianes
211,7.5885,5.8863,-0.2413,1.1839,true,arriba,radianes
212,7.5734,5.9127,-0.2404,1.1849,true,arriba,radianes
213,7.5584,5.9393,-0.2396,1.186,true,arriba,radianes
214,7.5436,5.9662,-0.2387,1.1869,true,arriba,radianes
215,7.5291,5.9932,-0.2378,1.1879,true,arriba,radianes
216,7.5146,6.0204,-0.2368,1.1888,true,arriba,radianes
217,7.5004,6.0477,-0.2359,1.1896,true,arriba,radianes
218,7.4863,6.0753,-0.2349,1.1905,true,arriba,radianes
219,7.4724,6.103,-0.2339,1.1913,true,arriba,radianes
220,7.4586,6.1309,-0.2329,1.1921,true,arriba,radianes
221,7.4449,6.159,-0.2319,1.1928,true,arriba,radianes
222,7.4313,6.1872,-0.2309,1.1936,true,arriba,radianes
223,7.4179,6.2155,-0.2298,1.1943,true,arriba,radianes
224,7.4045,6.244,-0.2288,1.195,true,arriba,radianes
225,7.3912,6.2726,-0.2277,1.1956,true,arriba,radianes
226,7.3779,6.3013,-0.2266,1.1963,true,arriba,radianes
227,7.3647,6.3302,-0.2255,1.1969,true,arriba,radianes
228,7.3515,6.3591,-0.2244,1.1975,true,arriba,radianes
229,7.3384,6.3882,-0.2233,1.1981,true,arriba,radianes
230,7.3252,6.4173,-0.2222,1.1987,true,arriba,radianes
231,7.3121,6.4465,-0.221,1.1993,true,arriba,radianes
232,7.2989,6.4757,-0.2199,1.1999,true,arriba,radianes
233,7.2856,6.505,-0.2188,1.2005,true,arriba,radianes
234,7.2724,6.5343,-0.2176,1.2011,true,arriba,radianes
235,7.259,6.5636,-0.2165,1.2017,true,arriba,radianes
236,7.2456,6.593,-0.2154,1.2023,true,arriba,radianes
237,7.232,6.6223,-0.2142,1.2029,true,arriba,radianes
238,7.2184,6.6516,-0.2131,1.2035,true,arriba,radianes
239,7.2046,6.6809,-0.2119,1.2041,true,arriba,radianes
240,7.1906,6.7101,-0.2108,1.2047,true,arriba,radianes
241,7.1765,6.7392,-0.2097,1.2054,true,arriba,radianes
242,7.1623,6.7683,-0.2086,1.2061,true,arriba,radianes
243,7.1478,6.7972,-0.2075,1.2067,true,arriba,radianes
244,7.1331,6.8261,-0.2064,1.2075,true,arriba,radianes
245,7.1182,6.8548,-0.2053,1.2082,true,arriba,radianes
246,7.1031,6.8834,-0.2042,1.209,true,arriba,radianes
247,7.0877,6.9118,-0.2032,1.2098,true,arriba,radianes
248,7.0721,6.94,-0.2021,1.2106,true,arriba,radianes
249,7.0561,6.968,-0.2011,1.2115,true,arriba,radianes
250,7.0399,6.9958,-0.2001,1.2124,true,arriba,radianes
251,7.0234,7.0234,-0.1991,1.2133,true,arriba,radianes
252,7.0065,7.0507,-0.1982,1.2143,true,arriba,radianes
253,6.9893,7.0777,-0.1973,1.2154,true,arriba,radianes
254,6.9718,7.1045,-0.1964,1.2165,true,arriba,radianes
255,6.9539,7.1309,-0.1955,1.2176,true,arriba,radianes
256,6.9356,7.157,-0.1946,1.2188,true,arriba,radianes
257,6.917,7.1828,-0.1938,1.22,true,arriba,radianes
258,6.8979,7.2082,-0.193,1.2213,true,arriba,radianes
259,6.8785,7.2332,-0.1923,1.2227,true,arriba,radianes
260,6.8586,7.2578,-0.1915,1.2241,true,arriba,radianes
261,6.8383,7.282,-0.1908,1.2256,true,arriba,radianes
262,6.8175,7.3058,-0.1902,1.2271,true,arriba,radianes
263,6.7963,7.3291,-0.1896,1.2288,true,arriba,radianes
264,6.7747,7.3519,-0.189,1.2304,true,arriba,radianes
265,6.7525,7.3743,-0.1884,1.2322,true,arriba,radianes
266,6.7299,7.3961,-0.1879,1.234,true,arriba,radianes
267,6.7069,7.4174,-0.1875,1.2359,true,arriba,radianes
268,6.6833,7.4382,-0.1871,1.2379,true,arriba,radianes
269,6.6592,7.4584,-0.1867,1.2399,true,arriba,radianes
270,6.6346,7.478,-0.1864,1.2421,true,arriba,radianes
271,6.6095,7.497,-0.1861,1.2443,true,arriba,radianes
272,6.5839,7.5154,-0.1859,1.2465,true,arriba,radianes
273,6.5578,7.5332,-0.1857,1.2489,true,arriba,radianes
274,6.5311,7.5504,-0.1855,1.2513,true,arriba,radianes
275,6.5039,7.5669,-0.1855,1.2539,true,arriba,radianes
276,6.4762,7.5827,-0.1854,1.2565,true,arriba,radianes
277,6.4479,7.5978,-0.1854,1.2592,true,arriba,radianes
278,6.4192,7.6122,-0.1855,1.2619,true,arriba,radianes
279,6.3898,7.6259,-0.1856,1.2648,true,arriba,radianes
280,6.36,7.6389,-0.1858,1.2677,true,arriba,radianes
281,6.3295,7.6511,-0.186,1.2708,true,arriba,radianes
282,6.2986,7.6626,-0.1863,1.2739,true,arriba,radianes
283,6.2671,7.6733,-0.1866,1.2771,true,arriba,radianes
284,6.2351,7.6832,-0.187,1.2804,true,arriba,radianes
285,6.2025,7.6923,-0.1875,1.2837,true,arriba,radianes
286,6.1694,7.7007,-0.188,1.2872,true,arriba,radianes
287,6.1358,7.7082,-0.1885,1.2907,true,arriba,radianes
288,6.1016,7.7149,-0.1891,1.2944,true,arriba,radianes
289,6.067,7.7208,-0.1898,1.2981,true,arriba,radianes
290,6.0318,7.7259,-0.1905,1.3019,true,arriba,radianes
291,5.9961,7.7301,-0.1913,1.3058,true,arriba,radianes
292,5.9598,7.7334,-0.1921,1.3097,true,arriba,radianes
293,5.9231,7.7359,-0.193,1.3138,true,arriba,radianes
294,5.8859,7.7376,-0.194,1.3179,true,arriba,radianes
295,5.8482,7.7384,-0.195,1.3221,true,arriba,radianes
296,5.8101,7.7383,-0.196,1.3263,true,arriba,radianes
297,5.7715,7.7374,-0.1971,1.3307,true,arriba,radianes
298,5.7324,7.7355,-0.1983,1.3351,true,arriba,radianes
299,5.6928,7.7329,-0.1995,1.3396,true,arriba,radianes
300,5.6528,7.7293,-0.2008,1.3442,true,arriba,radianes
301,5.6124,7.7249,-0.2021,1.3488,true,arriba,radianes
302,5.5716,7.7195,-0.2035,1.3535,true,arriba,radianes
303,5.5304,7.7134,-0.2049,1.3583,true,arriba,radianes
304,5.4888,7.7063,-0.2064,1.3631,true,arriba,radianes
305,5.4467,7.6984,-0.208,1.368,true,arriba,radianes
306,5.4044,7.6896,-0.2096,1.373,true,arriba,radianes
307,5.3616,7.68,-0.2112,1.378,true,arriba,radianes
308,5.3186,7.6695,-0.2129,1.3831,true,arriba,radianes
309,5.2752,7.6582,-0.2146,1.3882,true,arriba,radianes
310,5.2315,7.6461,-0.2164,1.3934,true,arriba,radianes
311,5.1874,7.6331,-0.2182,1.3986,true,arriba,radianes
312,5.1431,7.6193,-0.2201,1.4039,true,arriba,radianes
313,5.0986,7.6047,-0.222,1.4092,true,arriba,radianes
314,5.0538,7.5893,-0.224,1.4146,true,arriba,radianes
315,5.0087,7.5731,-0.226,1.42,true,arriba,radianes
316,4.9634,7.5561,-0.228,1.4254,true,arriba,radianes
317,4.9179,7.5383,-0.2301,1.4309,true,arriba,radianes
318,4.8723,7.5198,-0.2322,1.4364,true,arriba,radianes
319,4.8264,7.5006,-0.2344,1.4419,true,arriba,radianes
320,4.7804,7.4807,-0.2366,1.4475,true,arriba,radianes
321,4.7343,7.46,-0.2388,1.4531,true,arriba,radianes
322,4.688,7.4387,-0.2411,1.4587,true,arriba,radianes
323,4.6417,7.4167,-0.2434,1.4643,true,arriba,radianes
324,4.5952,7.394,-0.2458,1.47,true,arriba,radianes
325,4.5487,7.3707,-0.2481,1.4757,true,arriba,radianes
326,4.5021,7.3468,-0.2505,1.4813,true,arriba,radianes
327,4.4555,7.3223,-0.2529,1.487,true,arriba,radianes
328,4.4089,7.2972,-0.2554,1.4927,true,arriba,radianes
329,4.3623,7.2716,-0.2578,1.4984,true,arriba,radianes
330,4.3157,7.2454,-0.2603,1.5041,true,arriba,radianes
331,4.2692,7.2188,-0.2629,1.5098,true,arriba,radianes
332,4.2227,7.1916,-0.2654,1.5155,true,arriba,radianes
333,4.1763,7.164,-0.2679,1.5212,true,arriba,radianes
334,4.1299,7.136,-0.2705,1.5268,true,arriba,radianes
335,4.0837,7.1075,-0.2731,1.5325,true,arriba,radianes
336,4.0376,7.0787,-0.2757,1.5381,true,arriba,radianes
337,3.9917,7.0495,-0.2783,1.5438,true,arriba,radianes
338,3.9459,7.02,-0.2809,1.5494,true,arriba,radianes
339,3.9002,6.9901,-0.2835,1.555,true,arriba,radianes
340,3.8548,6.96,-0.2862,1.5605,true,arriba,radianes
341,3.8096,6.9297,-0.2888,1.5661,true,arriba,radianes
342,3.7646,6.8991,-0.2915,1.5716,true,arriba,radianes
343,3.7199,6.8683,-0.2941,1.577,true,arriba,radianes
344,3.6754,6.8373,-0.2967,1.5825,true,arriba,radianes
345,3.6312,6.8063,-0.2994,1.5879,true,arriba,radianes
346,3.5872,6.7751,-0.302,1.5932,true,arriba,radianes
347,3.5436,6.7438,-0.3046,1.5986,true,arriba,radianes
348,3.5003,6.7125,-0.3073,1.6038,true,arriba,radianes
349,3.4573,6.6812,-0.3099,1.6091,true,arriba,radianes
350,3.4146,6.6499,-0.3125,1.6142,true,arriba,radianes
351,3.3724,6.6186,-0.3151,1.6194,true,arriba,radianes
352,3.3304,6.5874,-0.3176,1.6245,true,arriba,radianes
353,3.2889,6.5564,-0.3202,1.6295,true,arriba,radianes
354,3.2478,6.5254,-0.3227,1.6345,true,arriba,radianes
355,3.207,6.4947,-0.3252,1.6394,true,arriba,radianes
356,3.1667,6.4641,-0.3277,1.6443,true,arriba,radianes
357,3.1268,6.4337,-0.3302,1.6491,true,arriba,radianes
358,3.0874,6.4037,-0.3326,1.6538,true,arriba,radianes
359,3.0484,6.3739,-0.335,1.6585,true,arriba,radianes
360,3.0098,6.3444,-0.3374,1.6631,true,arriba,radianes
361,2.9718,6.3153,-0.3398,1.6676,true,arriba,radianes
362,2.9341,6.2866,-0.3421,1.6721,true,arriba,radianes
363,2.897,6.2583,-0.3444,1.6765,true,arriba,radianes
364,2.8604,6.2304,-0.3466,1.6809,true,arriba,radianes
365,2.8242,6.203,-0.3488,1.6852,true,arriba,radianes
366,2.7886,6.1761,-0.351,1.6894,true,arriba,radianes
367,2.7535,6.1497,-0.3531,1.6935,true,arriba,radianes
368,2.7189,6.1239,-0.3552,1.6975,true,arriba,radianes
369,2.6848,6.0987,-0.3572,1.7015,true,arriba,radianes
370,2.6512,6.0741,-0.3592,1.7054,true,arriba,radianes
371,2.6182,6.0502,-0.3611,1.7092,true,arriba,radianes
372,2.5856,6.0269,-0.363,1.713,true,arriba,radianes
373,2.5536,6.0044,-0.3649,1.7167,true,arriba,radianes
374,2.5222,5.9825,-0.3666,1.7203,true,arriba,radianes
375,2.4913,5.9614,-0.3684,1.7238,true,arriba,radianes
376,2.4609,5.9411,-0.37,1.7272,true,arriba,radianes
377,2.431,5.9216,-0.3716,1.7306,true,arriba,radianes
378,2.4017,5.9029,-0.3732,1.7339,true,arriba,radianes
379,2.3729,5.8851,-0.3747,1.737,true,arriba,radianes
380,2.3447,5.8681,-0.3761,1.7402,true,arriba,radianes
381,2.317,5.852,-0.3774,1.7432,true,arriba,radianes
382,2.2898,5.8369,-0.3787,1.7462,true,arriba,radianes
383,2.2631,5.8227,-0.38,1.749,true,arriba,radianes
384,2.237,5.8094,-0.3811,1.7518,true,arriba,radianes
385,2.2114,5.7971,-0.3822,1.7545,true,arriba,radianes
386,2.1863,5.7858,-0.3832,1.7572,true,arriba,radianes
387,2.1617,5.7755,-0.3842,1.7597,true,arriba,radianes
388,2.1376,5.7663,-0.385,1.7622,true,arriba,radianes
389,2.114,5.7581,-0.3858,1.7646,true,arriba,radianes
390,2.0909,5.7509,-0.3866,1.7669,true,arriba,radianes
391,2.0683,5.7449,-0.3872,1.7692,true,arriba,radianes
392,2.0461,5.7399,-0.3878,1.7713,true,arriba,radianes
393,2.0245,5.736,-0.3883,1.7734,true,arriba,radianes
394,2.0033,5.7333,-0.3887,1.7754,true,arriba,radianes
395,1.9825,5.7316,-0.3891,1.7773,true,arriba,radianes
396,1.9622,5.7311,-0.3893,1.7792,true,arriba,radianes
397,1.9423,5.7317,-0.3895,1.7809,true,arriba,radianes
398,1.9229,5.7335,-0.3896,1.7826,true,arriba,radianes
399,1.9038,5.7365,-0.3896,1.7843,true,arriba,radianes
400,1.8852,5.7406,-0.3896,1.7858,true,arriba,radianes
401,1.8669,5.7459,-0.3895,1.7873,true,arriba,radianes
402,1.8491,5.7523,-0.3893,1.7887,true,arriba,radianes
403,1.8316,5.7599,-0.389,1.7901,true,arriba,radianes
404,1.8145,5.7688,-0.3886,1.7913,true,arriba,radianes
405,1.7977,5.7787,-0.3881,1.7925,true,arriba,radianes
406,1.7812,5.7899,-0.3876,1.7936,true,arriba,radianes
407,1.7651,5.8023,-0.387,1.7947,true,arriba,radianes
408,1.7492,5.8158,-0.3863,1.7957,true,arriba,radianes
409,1.7337,5.8305,-0.3855,1.7966,true,arriba,radianes
410,1.7185,5.8464,-0.3847,1.7975,true,arriba,radianes
411,1.7035,5.8634,-0.3838,1.7983,true,arriba,radianes
412,1.6887,5.8816,-0.3827,1.7991,true,arriba,radianes
413,1.6743,5.901,-0.3817,1.7997,true,arriba,radianes
414,1.66,5.9215,-0.3805,1.8004,true,arriba,radianes
415,1.6459,5.9431,-0.3793,1.8009,true,arriba,radianes
416,1.6321,5.9659,-0.3779,1.8014,true,arriba,radianes
417,1.6184,5.9898,-0.3766,1.8019,true,arriba,radianes
418,1.6049,6.0148,-0.3751,1.8023,true,arriba,radianes
419,1.5916,6.0409,-0.3736,1.8026,true,arriba,radianes
420,1.5783,6.068,-0.3719,1.8029,true,arriba,radianes
421,1.5653,6.0963,-0.3703,1.8032,true,arriba,radianes
422,1.5523,6.1256,-0.3685,1.8034,true,arriba,radianes
423,1.5394,6.1559,-0.3667,1.8035,true,arriba,radianes
424,1.5266,6.1872,-0.3648,1.8036,true,arriba,radianes
425,1.5139,6.2196,-0.3629,1.8036,true,arriba,radianes
426,1.5012,6.2529,-0.3608,1.8037,true,arriba,radianes
