t,tau1,tau2,theta1,theta2,dtheta1,dtheta2,ddtheta1,ddtheta2
0.0,1.0547108458040335,0.12137981046810734,0.0,1.0,1.0,-0.0,-0.0,-1.0
0.01001001001001001,1.0525234121744826,0.11943572655938703,0.010009842843179184,0.9999499002681359,0.9999499002681359,-0.010009842843179184,-0.010009842843179184,-0.9999499002681359
0.02002002002002002,1.0502475916152179,0.11749771510129696,0.020018682705473478,0.9997996060925097,0.9997996060925097,-0.020018682705473478,-0.020018682705473478,-0.9997996060925097
0.03003003003003003,1.0478840958396884,0.11556648137818676,0.030025516706496138,0.9995491325325173,0.9995491325325173,-0.030025516706496138,-0.030025516706496138,-0.9995491325325173
0.04004004004004004,1.045433674462127,0.11364272043856369,0.04002934216684664,0.9991985046854751,0.9991985046854751,-0.04002934216684664,-0.04002934216684664,-0.9991985046854751
0.05005005005005005,1.0428971147752002,0.11172711690877374,0.05002915670857863,0.9987477576841054,0.9987477576841054,-0.05002915670857863,-0.05002915670857863,-0.9987477576841054
0.06006006006006006,1.04027524150875,0.10982034482316295,0.06002395835563764,0.9981969366930158,0.9981969366930158,-0.06002395835563764,-0.06002395835563764,-0.9981969366930158
0.07007007007007007,1.03756891656962,0.10792306747054009,0.07001274563425858,0.9975460969041745,0.9975460969041745,-0.07001274563425858,-0.07001274563425858,-0.9975460969041745
0.08008008008008008,1.034779038762579,0.10603593725673612,0.0799945176733128,0.996795303531379,0.996795303531379,-0.0799945176733128,-0.0799945176733128,-0.996795303531379
0.09009009009009009,1.0319065434923673,0.10415959558303262,0.08996827430459496,0.995944631803723,0.995944631803723,-0.08996827430459496,-0.08996827430459496,-0.995944631803723
0.1001001001001001,1.0289524024469172,0.10229467274020759,0.09993301616303926,0.994994166958057,0.994994166958057,-0.09993301616303926,-0.09993301616303926,-0.994994166958057
0.11011011011011011,1.0259176232618124,0.10044178781792495,0.10988774478685526,0.993944004230449,0.993944004230449,-0.10988774478685526,-0.10988774478685526,-0.993944004230449
0.12012012012012012,1.0228032491660686,0.0986015486291734,0.11983146271757329,0.9927942488466414,0.9927942488466414,-0.11983146271757329,-0.11983146271757329,-0.9927942488466414
0.13013013013013014,1.0196103586093357,0.09677455164943875,0.12976317359998926,0.9915450160115067,0.9915450160115067,-0.12976317359998926,-0.12976317359998926,-0.9915450160115067
0.14014014014014015,1.01634006487065,0.09496138197027479,0.13968188228199885,0.9901964308975052,0.9901964308975052,-0.13968188228199885,-0.13968188228199885,-0.9901964308975052
0.15015015015015015,1.0129935156488632,0.0931626132669194,0.1495865949143112,0.9887486286321422,0.9887486286321422,-0.1495865949143112,-0.1495865949143112,-0.9887486286321422
0.16016016016016016,1.0095718926349175,0.09137880777958514,0.1594763190500322,0.9872017542844281,0.9872017542844281,-0.1594763190500322,-0.1594763190500322,-0.9872017542844281
0.17017017017017017,1.0060764110661367,0.08961051630803596,0.16935006374410702,0.9855559628503431,0.9855559628503431,-0.16935006374410702,-0.16935006374410702,-0.9855559628503431
0.18018018018018017,1.002508319262726,0.08785827821904699,0.17920683965261233,0.9838114192373063,0.9838114192373063,-0.17920683965261233,-0.17920683965261233,-0.9838114192373063
0.19019019019019018,0.9988688981467027,0.08612262146632957,0.18904565913188803,0.9819682982476522,0.9819682982476522,-0.18904565913188803,-0.18904565913188803,-0.9819682982476522
0.2002002002002002,0.9951594607434723,0.08440406262248934,0.19886553633749857,0.9800267845611155,0.9800267845611155,-0.19886553633749857,-0.19886553633749857,-0.9800267845611155
0.21021021021021022,0.9913813516663156,0.08270310692257354,0.20866548732301404,0.9779870727163263,0.9779870727163263,-0.20866548732301404,-0.20866548732301404,-0.9779870727163263
0.22022022022022023,0.9875359465840374,0.08102024831875071,0.21844453013860113,0.975849367091318,0.975849367091318,-0.21844453013860113,-0.21844453013860113,-0.975849367091318
0.23023023023023023,0.9836246516720689,0.07935596954565705,0.22820168492941395,0.9736138818830473,0.9736138818830473,-0.22820168492941395,-0.22820168492941395,-0.9736138818830473
0.24024024024024024,0.9796489030473188,0.07771074219593165,0.23793597403377498,0.9712808410859337,0.9712808410859337,-0.23793597403377498,-0.23793597403377498,-0.9712808410859337
0.2502502502502503,0.975610166187086,0.07608502680545655,0.24764642208113616,0.9688504784694136,0.9688504784694136,-0.24764642208113616,-0.24764642208113616,-0.9688504784694136
0.2602602602602603,0.971509935332371,0.07447927294780796,0.2573320560898106,0.9663230375545181,0.9663230375545181,-0.2573320560898106,-0.2573320560898106,-0.9663230375545181
0.2702702702702703,0.9673497328759258,0.07289391933741916,0.26699190556446467,0.9636987715894713,0.9636987715894713,-0.26699190556446467,-0.26699190556446467,-0.9636987715894713
0.2802802802802803,0.9631311087354046,0.07132939394094942,0.2766250025933614,0.9609779435243156,0.9609779435243156,-0.2766250025933614,-0.2766250025933614,-0.9609779435243156
0.2902902902902903,0.9588556397119905,0.0697861140963484,0.2862303819453445,0.9581608259845641,0.9581608259845641,-0.2862303819453445,-0.2862303819453445,-0.9581608259845641
0.3003003003003003,0.9545249288348862,0.06826448663910216,0.2958070811665539,0.9552477012438836,0.9552477012438836,-0.2958070811665539,-0.2958070811665539,-0.9552477012438836
0.3103103103103103,0.9501406046920663,0.06676490803514229,0.3053541406768634,0.9522388611958106,0.9522388611958106,-0.3053541406768634,-0.3053541406768634,-0.9522388611958106
0.3203203203203203,0.9457043207477066,0.06528776451989976,0.3148706038660299,0.9491346073245047,0.9491346073245047,-0.3148706038660299,-0.3148706038660299,-0.9491346073245047
