theta,x,y,r
5.230751768227005,-4.583894001484287,8.036421688071924,9.251819159784546
5.233893360880596,-4.623177489080579,8.046450413914501,9.280039566678917
5.237034953534185,-4.662425471580266,8.056063233247077,9.307973253942869
5.240176546187775,-4.701623856640176,8.065241901864592,9.3355982039139
5.2433181388413646,-4.740758498643124,8.0739686383003,9.362892753562534
5.246459731494954,-4.779815214862978,8.082226140049487,9.38983561448947
5.249601324148545,-4.818779801743403,8.089997599220505,9.416405892541151
5.252742916802134,-4.85763805127083,8.097266717597414,9.442583107024532
5.255884509455724,-4.896375767421928,8.104017721099744,9.468347209502584
5.259026102109313,-4.934978782665856,8.110235373625148,9.493678602152213
5.262167694762903,-4.97343297450126,8.115904990261837,9.51855815566693
5.2653092874164935,-5.011724282008061,8.121012449858146,9.542967226686898
5.268450880070083,-5.049838722393834,8.125544206937466,9.566887674739533
5.271592472723673,-5.087762407514604,8.129487302947538,9.590301878674312
5.274734065377262,-5.125481560349874,8.132829376833792,9.613192752575873
5.277875658030853,-5.162982531411602,8.135558674927365,9.63554376114017
5.281017250684442,-5.2002518150669665,8.137664060139024,9.657338934498759
5.284158843338032,-5.2372760657546955,8.139135020451242,9.678562882477069
5.287300435991622,-5.274042114074891,8.139961676701239,9.699200808272833
5.290442028645211,-5.310536982732307,8.140134789648883,9.719238521541676
5.293583621298802,-5.346747902313208,8.139645766323952,9.73866245087723
5.296725213952391,-5.382662326875998,8.138486665648179,9.757459655673877
5.299866806605981,-5.418267949336072,8.136650203328399,9.775617837360798
5.3030083992595705,-5.453552716625437,8.134129756017701,9.793125349996561
5.306149991913161,-5.488504844607931,8.130919364742727,9.809971210214279
5.3092915845667505,-5.523112832731076,8.127013737595627,9.826145106507777
5.31243317722034,-5.557365478395834,8.12240825169045,9.841637407850122
5.31557476987393,-5.591251891025893,8.11709895438419,9.856439171636252
5.318716362527519,-5.6247615058183245,8.111082563763896,9.870542150942384
5.32185795518111,-5.657884097157855,8.104356468401807,9.88393880109534
5.324999547834699,-5.690609791677339,8.096918726381412,9.89662228554571
5.328141140488289,-5.7229290809473055,8.088768063598192,9.908586481039483
5.331282733141879,-5.754832833778022,8.079903871339468,9.91982598208336
5.334424325795469,-5.786312308117709,8.070326203148797,9.930336104699808
5.337565918449059,-5.8173591625312255,8.060035770980884,9.94011288946848
5.340707511102648,-5.847965467243758,8.049033940654068,9.949153103851437
5.343849103756238,-5.878123714734731,8.037322726607904,9.957454243800207
5.3469906964098275,-5.9078268298675205,8.024904785974408,9.965014534643563
5.350132289063418,-5.937068179541096,8.011783411972113,9.971832931255463
5.353273881717008,-5.965841581850345,7.997962526632844,9.977909117503419
5.356415474370597,-5.994141314742197,7.983446672871982,9.983243504978232
5.359557067024187,-6.021962124155441,7.968241005913454,9.987837231006688
5.362698659677777,-6.049299231632542,7.95235128408169,9.99169215594965
5.365840252331367,-6.076148341392499,7.935783858973185,9.994810859788501
5.3689818449849565,-6.102505646854284,7.918545665021208,9.997196638003805
5.372123437638546,-6.128367836601132,7.900644208467639,9.99885349675054
5.375265030292136,-6.1537320997765175,7.882087555756744,9.999786147335113
5.378406622945726,-6.178596130903342,7.86288432136619,10.0
5.381548215599316,-6.2029581341185756,7.843043655091185,9.999501157022479
5.384689808252905,-6.226816826816125,7.822575228798342,9.99829640513472
5.387831400906495,-6.25017144269158,7.801489222666191,9.996393207273016
5.390972993560085,-6.273021734183026,7.779796310930094,9.993799693664775
5.394114586213675,-6.29536797430295,7.757507647149501,9.990524652262373
5.397256178867265,-6.317210957856841,7.73463484901624,9.986577518533716
5.400397771520854,-6.3385520020449535,7.711189982722909,9.981968364619988
5.403539364174444,-6.359392946444356,7.687185546910763,9.976707887871628
5.406680956828034,-6.379736152369065,7.662634456217159,9.970807398774248
5.409822549481624,-6.399584501606956,7.637550024442729,9.964278808276747
5.4129641421352135,-6.4189413945327285,7.611945947359135,9.957134614534592
5.416105734788803,-6.4378107475970605,7.585836285178241,9.94938788908157
5.419247327442394,-6.456196990192726,7.559235444704237,9.941052262444178
5.422388920095983,-6.47410506089936,7.532158161190235,9.932141909213106
5.425530512749573,-6.491540403109073,7.504619479921309,9.922671532586971
5.428672105403162,-6.508508960036108,7.476634737546141,9.91265634840389
5.431813698056752,-6.525017169114313,7.448219543179605,9.902112068677024
5.4349552907103424,-6.541071955786959,7.419389759298905,9.891054884650682
5.438096883363932,-6.556680726694298,7.390161482455925,9.879501449394073
5.441238476017522,-6.571851362264794,7.360551023828742,9.867468859950254
5.444380068671111,-6.586592208716919,7.330574889635189,9.854974639058204
5.447521661324701,-6.600912069478847,7.300249761431562,9.842036716466419
5.450663253978291,-6.614820196034434,7.2695924763195725,9.828673409856854
5.453804846631881,-6.62832627820423,7.238620007084648,9.814903405398287
5.4569464392854705,-6.641440433871271,7.207349442288806,9.80074573794877
5.46008803193906,-6.654173198161883,7.1757979663410625,9.786219770926897
5.463229624592651,-6.6665355120924765,7.143982839568571,9.77134517587217
5.46637121724624,-6.678538710694056,7.111921378311354,9.756141911714954
5.46951280989983,-6.690194510626651,7.079630935063606,9.740630203776785
5.472654402553419,-6.70151499729672,7.047128878684163,9.724830522522085
5.475795995207009,-6.7125126114910145,7.014432574698836,9.708763562082561
5.4789375878605995,-6.7232001355411635,6.981559365716934,9.692450218575825
5.482079180514189,-6.73359067903375,6.948526551984125,9.675911568239894
5.485220773167779,-6.743697664081248,6.915351372093678,9.65916884540553
5.488362365821368,-6.753534810169776,6.882050983877607,9.642243420328365
5.491503958474959,-6.763116118600136,6.848642445499276,9.62515677690308
5.494645551128548,-6.772455856539207,6.815142696768371,9.607930490281841
5.497787143782138,-6.781568540699169,6.78156854069917,9.590586204419484
5.5009287364357276,-6.790468920662631,6.747936625332283,9.573145609567733
5.504070329089317,-6.799171961872158,6.714263425840076,9.555630419741139
5.507211921742908,-6.807692828303077,6.680565226935209,9.538062350177054
5.510353514396497,-6.816046864839096,6.646858105601562,9.520463094812355
5.513495107050087,-6.824249579370348,6.613157914166256,9.502854303799262
5.516636699703676,-6.8323166246341795,6.57948026373097,9.485257561082774
5.519778292357267,-6.840263779819115,6.545840507980419,9.467694362062108
5.5229198850108565,-6.84810693195298,6.5122537273851595,9.450186091358432
5.526061477664446,-6.855862057096282,6.478734713815561,9.4327540007111
